Iron Man,126,585366247
The Incredible Hulk,112,264770996
Iron Man 2,124,623933331
Thor,115,449326618
Captain America: The First Avenger,124,370569774
The Avengers,143,1518812988
Iron Man 3,130,1214811252
Thor: The Dark World,112,644783140
Captain America: The Winter Soldier,136,714421503
Guardians of the Galaxy,121,772776600
Avengers: Age of Ultron,141,1402805868
Ant-Man,117,519311965
Captain America: Civil War,147,1153296293
Doctor Strange,115,677718395
Guardians of the Galaxy Vol. 2,136,863756051
Spider-Man: Homecoming,133,880166924
Thor: Ragnarok,130,853977126
Black Panther,134,1346913161
Avengers: Infinity War,149,2048359754
Ant-Man and the Wasp,118,622674139
Captain Marvel,123,1128274794
Avengers: Endgame,181,2797501328
Spider-Man: Far From Home,129,1131927996
